"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Ordenanza",6130,1996,"Remises. Licencias. Cupo adicional para discapacitados.","22/02/1996","19/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38469"
"Ordenanza",6129,1996,"Código Urbano. Sección 3º. Distrito Regular C1-5. Límites. Ampliación. Distrito Regular P1-3. Límites. Reducción.","22/02/1996","18/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33807"
"Ordenanza",6128,1996,"Código Urbano. Sección 3º. Distrito C. Normas Urbanísticas particulares. Modificación. Distrito H. Modificación.","22/02/1996","18/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33820"
"Ordenanza",6127,1996,"Vida útil  Unidades Modelos 79, 80, 81 y 82 Ny M2 y Modelos 79, 80, 81 categoría M3. Prórroga.","22/02/1996","19/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77388"
"Ordenanza",6126,1996,"Calle ""Dr. Mario Armas"". Designación.","22/02/1996","20/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=45535"
"Ordenanza",6125,1995,"Barrio ""Refineria"". Plano de Mensura y Subdivisión. Aprobación.","28/12/1995","15/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77387"
"Ordenanza",6124,1995,"Código Urbano. Sección 5º. Trazado vial interior. Derogación. Calles Martínez Estrada y Schweitzer. Ancho oficial. Pasajes vehiculares. Creación.","28/12/1995","15/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33821"
"Ordenanza",6123,1995,"Ordenanza 5150. Derogación. Terreno Municipal. Centro Popular de Asistencia a la Comunidad. Cesión Precaria.","28/12/1995","05/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77129"
"Ordenanza",6122,1995,"Secretaría General Intendencia Municipal. Funciones.","28/12/1995","02/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=55715"
"Ordenanza",6121,1995,"Servicio de Cremación. Residuos Patológicos. Incorporación. Ordenanza General Impositiva. Derechos por Cremación. Tasa.  Fijación.","22/12/1995","12/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38435"
"Ordenanza",6120,1995,"Mensura y subdivión . Asentamiento ""Nuestra Señora de Rosario"". Aprobación.","22/12/1995","12/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77131"
"Ordenanza",6119,1995,"Mensura y subdivión . Asentamiento ""Buena Nueva"". Aprobación.","22/12/1995","12/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77134"
"Ordenanza",6118,1995,"Presupuesto General de Erogaciones de la Administración Central del Ejercicio 1994 prorrogado 1995. Modificación.","22/12/1995","12/01/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77135"
"Ordenanza",6117,1995,"Trazado Oficial. Calle creada por Decreto 47888/73. Supresión.","30/11/1995","21/12/1995",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=85752"
"Ordenanza",6116,1995,"Instituto Municipal de Previsión Social de Rosario. Organización. Administración. Funciones. Régimen previsional Afiliados. Prestaciones.","30/11/1995","07/12/1995",,,,"SI","https://ssl.rosario.gov.ar/mr/normativa/otras-normas/ordenanzas/ordenanza-6116-1995"
"Ordenanza",6115,1995,"Urbanizaciones. Loteos. Subdivisiones. Plazo.","30/11/1995","21/12/1995",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34077"
"Ordenanza",6114,1995,"Remise. Conductor. Autoridad de aplicación. Habilitación. Seguros.","30/11/1995","14/12/1992",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=37664"
