"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución",192,2023,"Ordenanza Nº 10.139. Reglamentación.","07/07/2023",1550,2023,"10/07/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=207865"
"Resolución",178,2023,"Agencias de Lotería. Artículo 20º Ley Provincial Nº 8269. Nueva disposición.","29/06/2023",1544,2023,"30/06/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=207565"
"Resolución",163,2023,"Emisión Tasa General de inmuebles y sus adicionales. Adecuación.","16/06/2023",1537,2023,"16/06/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=207292"
"Resolución",141,2023,"Programa de Financiamiento de Pavimento a Nivel Definitivo e Infraestructura Vinculada. Emisión de Bonos. Disposición.","23/05/2023",1529,2023,"29/05/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=206236"
"Resolución",89,2023,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","03/02/2023",1478,2023,"06/02/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=201855"
"Resolución",75,2023,"Tasa General de Inmuebles y adicionales. Emisión. Adecuación.","17/03/2023",1496,2023,"20/03/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=203242"
"Resolución",24,2023,"Banco Municipal de Rosario. Estados Financieros Consolidados. Ejercicio 2.022.","02/05/2023",1518,2023,"03/05/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=205081"
"Resolución",14,2023,"Patente única sobre Vehículos. Abogados. Dirección Cobranza Judicial. Cobro períodos fiscales. Enero 2018 a Junio 2019. Encomendación.","05/01/2023",1469,2023,"11/01/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=200656"
"Resolución",13,2023,"Funciones de Intendente Municipal. Presidenta del Concejo Municipal Mg. María Eugenia Schmuck. Delegación.","05/01/2023",1469,2023,"11/01/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=200590"
"Resolución",11,2023,"Nueva credencial. Derecho de Registro e Inspección, sus adicionales y Contribución ETUR. Régimen Simplificado. Disposición.","05/01/2023",1469,2023,"11/01/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=200648"
"Resolución",1408,2022,"Deudas de Tributos Municipales y Patente Única sobre Vehículos. Prescripción. Período. Abstención de Cobro. Instrucción. Excepciones.","23/12/2022",1464,2022,"29/12/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=200242"
"Resolución",422,2022,"Demolición. Ex Estación Sorrento. Instructivo.","01/06/2022",1381,2022,"03/06/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=189996"
"Resolución",394,2022,"Tasa General de Inmuebles y sus adicionales 2023. Opción pago anticipado. Vencimiento. Fijación.","23/12/2022",1462,2022,"26/12/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=200044"
"Resolución",375,2022,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","15/12/2022",1459,2022,"19/12/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=199680"
"Resolución",347,2022,"Emisión de la Serie V de Letras del Tesoro. Disposición.","22/11/2022",1450,2022,"25/11/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=198692"
"Resolución",246,2022,"Tasa General de Inmuebles y sus Adicionales. Emisión. Decreto N° 938/21. Adecuación.","09/09/2022",1424,2022,"13/09/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=195179"
"Resolución",241,2022,"Servicio Público de Transporte Urbano Pasajeros. Tarifas. Fecha vigencia. Fijación.","23/09/2022",1431,2022,"26/09/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=195964"
"Resolución",218,2022,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Determinación.","31/08/2022",1418,2022,"31/08/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=194756"
"Resolución",147,2022,"Emisión de TGI y sus adicionales. Adecuación.","02/06/2022",1382,2022,"07/06/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=190054"
"Resolución",116,2022,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","19/05/2022",1375,2022,"20/05/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=189057"
