_category,_link_col,NUMERO,ANIO,PUBLICACION,CANTIDAD_NORMAS,LINK,TIPO,ASUNTO,FEC_SANCION,NRO_BOLETIN,ANIO_BOLETIN,FEC_PUBLICACION_BOLETIN,FUE_ACTUALIZADA,TEXTO_VIGENTE_NORMA,FEC_PROMULGACION
decretos,TEXTO_VIGENTE_NORMA,908,2026,,,,Decreto,"Licitación Pública ""Bacheo asfáltico en pequeñas superficies en la Ciudad de Rosario, zonas Sur-Suroeste, NorteNoroeste y Centro-Oeste"". Legajo. Aprobación. Llamado.",10/06/2026,2048,2026,10/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262947,
decretos,TEXTO_VIGENTE_NORMA,902,2026,,,,Decreto,"Licitación Pública ""Provisión de caños, chapas, y planchuelas"". Adjudicación.",09/06/2026,2047,2026,09/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262913,
decretos,TEXTO_VIGENTE_NORMA,898,2026,,,,Decreto,"Licitación Pública ""Servicio de Mantenimiento del Sistema Integral de Video Vigilancia Urbano Municipal"". Monto contractual. Ampliación.",09/06/2026,2047,2026,09/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262908,
decretos,TEXTO_VIGENTE_NORMA,897,2026,,,,Decreto,Decreto Nº 0838/2026. Modificación.,08/06/2026,2046,2026,08/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262894,
decretos,TEXTO_VIGENTE_NORMA,885,2026,,,,Decreto,"Licitación Pública ""Contratación del servicio de lavadero para la ropa hospitalaria del Hospital de Emergencias Dr. Clemente Álvarez"". Adjudicación.",05/06/2026,2045,2026,05/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262797,
decretos,TEXTO_VIGENTE_NORMA,883,2026,,,,Decreto,"Licitación Pública ""Pavimento definitivo en Barrio Triángulo Sectores 1 y 2"". Legajo. Aprobación. Llamado.",05/06/2026,2045,2026,05/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262792,
decretos,TEXTO_VIGENTE_NORMA,882,2026,,,,Decreto,"Licitación Pública ""Remodelación Av. Casiano Casas - Etapa I"". Legajo. Aprobación. Llamado.",05/06/2026,2045,2026,05/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262791,
decretos,TEXTO_VIGENTE_NORMA,880,2026,,,,Decreto,"""Programa Municipal de Prevención y Detección Temprana del Cáncer de Mama"". Creación.",05/06/2026,2045,2026,05/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262788,
decretos,TEXTO_VIGENTE_NORMA,863,2026,,,,Decreto,"Licitación Pública ""Para la obra Parque Acuático - Costanera Norte"". Adjudicación.",01/06/2026,2043,2026,03/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262535,
decretos,TEXTO_VIGENTE_NORMA,861,2026,,,,Decreto,Nuevos valores tarifarios. Vehículos contratados. Aprobación.,29/05/2026,2042,2026,02/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262423,
decretos,TEXTO_VIGENTE_NORMA,858,2026,,,,Decreto,Módulo de Contratación (MC). Valor. Adecuación.,29/05/2026,2042,2026,02/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262405,
decretos,TEXTO_VIGENTE_NORMA,857,2026,,,,Decreto,"Licitación Pública ""Servicio de recolección, transporte, tratamiento y disposición final de residuos biopatogénicos, generados en los establecimientos de salud"". Adjudicación.",29/05/2026,2042,2026,02/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262401,
decretos,TEXTO_VIGENTE_NORMA,847,2026,,,,Decreto,Ordenanza Nº 9.987. Atículo 7°. Reglamentación.,26/05/2026,2039,2026,26/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262187,
decretos,TEXTO_VIGENTE_NORMA,844,2026,,,,Decreto,Servicio de ascensor. Monumento Nacional a la Bandera. Tarifa. Fijación.,26/05/2026,2040,2026,27/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262190,
decretos,TEXTO_VIGENTE_NORMA,841,2026,,,,Decreto,Decreto-Ordenanza N° 2.649. Artículo 63º. Reglamentación.,26/05/2026,2039,2026,26/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262158,
decretos,TEXTO_VIGENTE_NORMA,838,2026,,,,Decreto,"Licitación Pública ""Contratación del servicio de limpieza predios de la Subsecretaría de Deporte, Subsecretaría de Turismo, ex edificio y edificio actual de la Secretaría de Deporte y Turismo"". Adjudicación.",26/05/2026,2039,2026,26/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262153,
decretos,TEXTO_VIGENTE_NORMA,837,2026,,,,Decreto,Acta acuerdo de intercambio. Laboratorio Industrial Farmacéutico Sociedad del Estado (L.I.F. S.E.) - Laboratorio de Especialidades Medicinales Sociedad del Estado (L.E.M. S.E.). Ratificación.,26/05/2026,2039,2026,26/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262148,
decretos,TEXTO_VIGENTE_NORMA,826,2026,,,,Decreto,"Licitación Pública ""Contratación del Servicio de Seguridad y Vigilancia en el CMD Sudoeste Emilia Bertolé"". Pliego de bases y condiciones. Aprobación. Llamado.",19/05/2026,2038,2026,20/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261772,
decretos,TEXTO_VIGENTE_NORMA,818,2026,,,,Decreto,"Biblioteca Argentina ""Dr. Juan Álvarez"". Prestaciones varias. Nuevos precios. Disposición.",19/05/2026,2038,2026,20/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261757,
decretos,TEXTO_VIGENTE_NORMA,811,2026,,,,Decreto,Ordenanza N° 8.422. Numeración. Modificación.,18/05/2026,2037,2026,19/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261649,
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69622,2026,,,,Decreto Concejo Municipal,EXPTE. N° 16981-C-26. DECLARACION DE INSTITUCION DISTINGUIDA A ROSARIO SOLIDARIA EN EL MARCO DE SU 15 ANIVERSARIO.,21/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263797,02/06/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69621,2026,,,,Decreto Concejo Municipal,"Declarase de Interés Municipal el evento ""Coyuntura Económica e Inversión"", con la disertación del economista Claudio zuchovicki.",21/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262770,08/06/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69619,2026,,,,Decreto Concejo Municipal,"Visitante Distinguido. Sr. Embajador de la República Argelina Democrática y Popular en la República Argentina, Lotfi Sebouai. Declaración.",21/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263367,01/06/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69487,2026,,,,Decreto Concejo Municipal,"Encomiendase al D.E.M. que, de cumplimiento a lo establecido en la ordenanza nro 10749",21/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262794,08/06/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69440,2026,,,,Decreto Concejo Municipal,"Declarase de Interés Municipal a la ""240"" Reunión del Concejo Directivo de la Federación Empresaria Hotelera Gastronómica de la República Argentina.",07/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263100,26/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69438,2026,,,,Decreto Concejo Municipal,"Declarase de interés Municipal el 70 aniversario de la ""Galería Rosario"".",07/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262812,26/05/2026
